record_id,doi,title,authors,year,journal,quartile,databases,abstract,abstract_source,decision,primary_reason,secondary_reason,needs_fulltext_check,confidence,screened_at,notes
SLR1-0011,10.1038/s41598-025-24559-7,Hybrid ST-ResNet and LSTM approach for precise crime hotspot prediction,Shahmoradi; Nasim; Alesheikh; Ali Asghar; Jafari; Ali; Lotfata; Aynaz,2025,Scientific Reports,Q1,Scopus,"Crime is a critical social issue that threatens public safety, and accurately predicting and reducing crime in hotspot areas is a key objective. Crime patterns are inherently complex, with substantial spatial and temporal variability, which makes accurate prediction challenging. This study addresses these intricacies by leveraging advanced deep learning models, including Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs), to enhance predictive accuracy in crime hotspots. Specifically, we integrate ST-ResNet for spatio-temporal analysis with Long Short-Term Memory (LSTM) networks to model temporal dependencies, overcoming ST-ResNet’s limitation in capturing sequential patterns in crime data. To further improve predictive accuracy, we introduce a feature: the daily Euclidean distance of each crime to the nearest park as a secondary input channel for ST-ResNet, supplemented by historical crime data. Additionally, weather conditions and temporal variables are incorporated into the model’s fully connected layer as additional inputs. Our method achieves a mean hit rate of over 88% at finer spatial resolutions (500 m), outperforming existing models, which tend to perform better only at coarser resolutions (1000 m). By capturing finer spatial details, our approach proves more effective in identifying theft hotspots across Chicago, offering valuable insights for developing targeted crime prevention strategies.",data/silver/analysis/field_corpus.json,include_title_abstract,IC4,,no,high,2026-06-27,Crime hotspot prediction con ST-ResNet y LSTM.
SLR1-0012,10.1007/s10940-025-09629-3,Deep Learning for Crime Forecasting: The Role of Mobility at Fine-grained Spatiotemporal Scales,Albors Zumel; A.; Tizzoni; M.; Campedelli; G. M.,2025,Journal of Quantitative Criminology,Q1,Scopus,"To develop a deep learning framework to evaluate if and how incorporating micro-level mobility features, alongside historical crime and sociodemographic data, enhances predictive performance in crime forecasting at fine-grained spatial and temporal resolutions. We advance the literature on computational methods and crime forecasting by focusing on four U.S. cities (i.e., Baltimore, Chicago, Los Angeles, and Philadelphia). We employ crime incident data obtained from each city’s police department, combined with sociodemographic data from the American Community Survey and human mobility data from Advan, collected from 2019 to 2023. This data is aggregated into grids with equally sized cells of 0.077 sq. miles (0.2 sq. kms) and used to train our deep learning forecasting model, a Convolutional Long Short-Term Memory (ConvLSTM) network, which predicts crime occurrences 12 hours ahead using 14-day and 2-day input sequences. We also compare its performance against three baseline models: logistic regression, random forest, and standard LSTM. Incorporating mobility features improves predictive performance, especially when using shorter input sequences. Noteworthy, however, the best results are obtained when both mobility and sociodemographic features are used together, with our deep learning model achieving the highest recall, precision, and F1 score in all four cities, outperforming alternative methods. With this configuration, longer input sequences enhance predictions for violent crimes, while shorter sequences are more effective for property crimes. These findings underscore the importance of integrating diverse data sources for spatiotemporal crime forecasting, mobility included. They also highlight the advantages (and limits) of deep learning when dealing with fine-grained spatial and temporal scales.",data/silver/analysis/field_corpus.json,include_title_abstract,IC4,,no,high,2026-06-27,Crime forecasting con ConvLSTM y movilidad a escala fina.
SLR1-0013,10.1016/j.ipm.2025.104227,Augmented graph information bottleneck with type-aware periodicity heterogeneity for explainable crime prediction,Fu; R.; et al.,2025,Information Processing & Management,Q1,Scopus,"Accurate crime prediction is crucial for proactive law enforcement, enhancing public safety, and Crime prediction optimizing resource allocation. However, existing solutions struggle with two key challenges: Type-aware periodicity heterogeneity (1) crime periodicity heterogeneity, where different types of crimes exhibit distinct periodic Graph information bottleneck patterns; and (2) lacking of post-hoc explainability, as the black-box effect of deep neural models makes it challenging to interpret the model performance. To respond to these concerns, we present EX-Crime, a novel solution for crime prediction with an inherently explainable view. By following the merits of information bottleneck (IB) principles, we introduce an augmented graph information bottleneck learning block that is coupled with an integrated crime pattern modeling to capture spatial–temporal patterns of crimes. Moreover, a new crime type-aware periodicity learning, employing Fast Fourier Transform and autocorrelation techniques, is proposed to identify the periodic patterns of distinct crime for enhanced temporal modeling. Our extensive experiments on real-world datasets demonstrate that EX-Crime gains substantial improvements in prediction accuracy and interpretability, uncovering its potential to significantly advance crime understanding across diverse urban settings.",data/bronze/fu2025_excrime_gib.txt,include_title_abstract,IC4,,no,high,2026-06-27,Explainable crime prediction con graph information bottleneck.
SLR1-0014,10.1016/j.jag.2025.104973,Spatiotemporal crime prediction and fairness-constrained spatial optimization with deep reinforcement learning for patrol region design,Liang; X.; Zhou; L.; Wang; S.; Zhao; X.; Xue; J.; Ding; Q.; Pan; Y.,2025,International Journal of Applied Earth Observation and Geoinformation,Q1,Scopus,"Existing police resource allocation relies on the prediction of historical crime hotspots, which is difficult to Spatio-temporal crime prediction balance the overall effectiveness and regional fairness, resulting in an imbalance in the allocation of resources Fairness constraints and difficulty in adapting to dynamic security needs. Taking Los Angeles as the study area, this study first Minimum regional disparity constructs an XGBoost regression prediction model to quantify the future crime risk of each area based on the Deep reinforcement learning Police resource allocation optimization crime location and time information in the historical crime data, and then introduces the minimum regional disparity (MRD) constraint on the basis of which the fairness indicator is integrated into the optimization framework of patrol region allocation. Meanwhile, this study innovatively introduces a deep reinforcement learning method to improve the model’s solution efficiency and adaptability under complex constraints by interacting with the environment through a policy network. The experimental results show that the MRD fairness model significantly improves resource allocation fairness. Compared with the maximum coverage model, the Gini coefficient and coefficient of variation decrease by 42.56 % and 57.59 %, respectively, and the Jain’s fairness index simultaneously increases by 94.33 %. Regarding patrol region configuration, the proposed method decreases resource redundancy by 66.62 % and increases the spatial balance of facility distribution by 7.5 %, thereby effectively improving resource utilization and spatial layout rationality. Additionally, the deep rein­ forcement learning (DRL) strategy substantially reduces computational time compared to the classical mixed- integer programming solver, efficiently meeting dual constraints of fairness and coverage effectiveness. In summary, this study integrates MRD constraints and DRL to achieve equitable, efficient policing resource allo­ cation, providing a practical and effective technical pathway for addressing fairness and efficiency demands.",data/bronze/liang2025_spatiotemporal_patrol.txt,include_title_abstract,IC4,,no,high,2026-06-27,Prediccion de riesgo criminal y optimizacion de patrullaje con deep RL.
SLR1-0015,10.1007/s12061-025-09789-6,Enhancing Deep Learning-based Crime Hotspot Predictions With Theory-based Environmental Risk Scores,Hakyemez; Tugrul Cabir; Badur; Bertan,2026,Applied Spatial Analysis and Policy,Q2,Scopus,"This study introduces a novel network-based crime risk score, the Street Segment Risk Score (SSRS), designed to enhance crime hotspot predictions on street net- works. The SSRS evaluates the risk of individual street segments by incorporating the dynamic spatial influence of nearby urban features on local crime patterns. Our dataset comprises all reported incidents of robbery (n = 2,016) and theft (n = 31,493) from 2015 to 2018 in Chicago’s Central Side (CS). We developed both daily and in- traday crime hotspot prediction models that integrate the SSRS and compared their performance—with and without the SSRS—using two graph-based deep learning algorithms, Graph WaveNet (GWNet) and the Spatiotemporal Graph Convolutional Neural Network (STGCN); a traditional deep learning model, Long Short-Term Memory (LSTM); and two baseline methods, Multilayer Perceptron (MLP) and Spatiotemporal Network Kernel Density Estimation (STNetKDE). Results indicate that incorporating the SSRS improves daily robbery hotspot prediction accuracy by up to 5.3% and intraday theft prediction accuracy by as much as 33%. The proposed SSRS demonstrates strong potential to support more precise, street-level security interventions by enhancing daily and intraday crime hotspot predictions. Keywords Crime hotspot prediction · Deep learning · Environmental crime risk · Spatiotemporal graph learning Tugrul Cabir Hakyemez tugrul.hakyemez@bilgi.edu.tr Bertan Badur badur@bogazici.edu.tr 1 Department of Management Information Systems, Istanbul Bilgi University, İstanbul, Turkey 2 Department of Management Information Systems, Bogazici University, Istanbul, Turkey 13 39 Page 2 of 41 T. C. Hakyemez, B. Badur",data/bronze/hakyemez2026_ssrs_crime.txt,include_title_abstract,IC4,,no,high,2026-06-27,Crime hotspot prediction con GWNet/STGCN/LSTM y environmental risk scores.
SLR1-0016,10.3390/bdcc9070179,Research on a Crime Spatiotemporal Prediction Method Integrating Informer and ST-GCN: A Case Study of Four Crime Types in Chicago,Fan; Yuxiao; Hu; Xiaofeng; Hu; Jinming,2025,Big Data and Cognitive Computing,Q1,Scopus,"As global urbanization accelerates, communities have emerged as key areas where social conflicts and public safety risks clash. Traditional crime prevention models experience difficulties handling dynamic crime hotspots due to data lags and poor spatiotemporal resolution. Therefore, this study proposes a hybrid model combining Informer and Spatiotemporal Graph Convolutional Network (ST-GCN) to achieve precise crime prediction at the community level. By employing a community topology and incorporating historical crime, weather, and holiday data, ST-GCN captures spatiotemporal crime trends, while Informer identifies temporal dependencies. Moreover, the model leverages a fully connected layer to map features to predicted latitudes. The experimental results from 320,000 crime records from 22 police districts in Chicago, IL, USA, from 2015 to 2020 show that our model outperforms traditional and deep learning models in predicting assaults, robberies, property damage, and thefts. Specifically, the mean average error (MAE) is 0.73 for assaults, 1.36 for theft, 1.03 for robbery, and 1.05 for criminal damage. In addition, anomalous event fluctuations are effectively captured. The results indicate that our model furthers data-driven public safety governance through spatiotemporal dependency integration and long-sequence modeling, facilitating dynamic crime hotspot prediction and resource allocation optimization. Future research should integrate multisource socioeconomic data to further enhance model adaptability and cross-regional generalization capabilities.",data/silver/analysis/field_corpus.json,include_title_abstract,IC4,,no,high,2026-06-27,Crime spatiotemporal prediction con Informer y ST-GCN.
SLR1-0017,10.1007/s10940-024-09593-4,Partial Identification of the Dark Figure of Crime with Survey Data Under Misreporting Errors,Fé; Eduardo,2024,Journal of Quantitative Criminology,Q1,Scopus,Studies how misreporting errors in crime surveys affect our understanding of the Dark Figure of Crime (DFC). Uses partial identification methods with survey data.,papers/queue.md,include_title_abstract,IC4,,no,high,2026-06-27,"RQ2 directo: dark figure, misreporting y encuestas de victimizacion."
SLR1-0018,10.1016/j.neucom.2026.133217,FedCrime: Zero-inflation adaptive federated learning for crime prediction,Bhumika; Lalanda; Philippe; Vega; German; Das; Debasis,2026,Neurocomputing,Q1,Scopus,"Communicated by Z. Wang In smart cities, crime prediction plays a critical role in enhancing public safety through proactive interventions and efficient resource allocation. In recent years, deep learning based approaches have shown promising perfor­ mance for spatio-temporal crime forecasting. However, most existing methods rely on centralized training, where",data/bronze/bhumika2026_fedcrime.txt,include_title_abstract,IC4,,no,high,2026-06-27,FedCrime: federated/deep learning para crime prediction.
SLR1-0019,10.1016/j.asoc.2023.110886,Incorporating park events into crime hotspot prediction on street networks: A spatiotemporal graph learning approach,Hakyemez; Tugrul Cabir; Badur; Bertan,2023,Applied Soft Computing,Q1,Scopus,"Park events elevate crime risk in and around parks for brief periods by granting offenders close contact with Crime hotspot prediction abundant suitable targets in outdoor spaces. This study proposes to capture the formulated transient crime risk Park event with a network-based feature, Park Event Density (PED), that monitors the dynamic event density across parks. Spatiotemporal graph learning We incorporate the PED into various crime hotspot prediction models to test its effectiveness. The sample in­ Deep learning cludes all the robbery(n = 1555) and theft(n = 22596) incidents between 2016 and 2018 in the Center Side of Chicago. We generate daily and intraday crime hotspot predictions using two spatiotemporal graph learning algorithms (i.e., Graph Wavenet and Spatiotemporal Graph Convolution Neural Networks) and a traditional counterpart (i.e., LSTM). The results reveal that the PED-incorporated models have up to 25% higher accuracy, particularly in the intraday theft predictions. Another significant result indicates that the predictive accuracies of spatiotemporal graph learning algorithms are up to three times higher than their traditional counterpart. The proposed method provides additional information to security decision-makers with crime hotspot prediction models sensitive to the changing crime risk landscape across a region during park events. It also helps organize safer outdoor public events by enacting timely security interventions through more accurate crime hotspot predictions.",data/bronze/hakyemez2023_park_events.txt,include_title_abstract,IC4,,no,high,2026-06-27,Crime hotspot prediction con spatiotemporal graph learning.
SLR1-0020,10.1016/j.ins.2023.119414,Crime risk prediction incorporating geographical spatiotemporal dependency into machine learning models,Deng; Yue; He; Rixing; Liu; Yang,2023,Information Sciences,Q1,Scopus,"The spatiotemporal distribution of crime is closely related to the environment, exhibiting a typical Crime risk prediction characteristic of “spatiotemporal autocorrelation”. However, most of the existing machine Spatiotemporal dependency learning-based crime prediction methods have difficulty in simulate the spatiotemporal depen­ Inverse distance weighting dence of crime. In this study, we mitigate the spatiotemporal dependence embedded in crime data Spatiotemporal lag variable by introducing a spatiotemporal lag variable. To verify the feasibility of the proposed methods, Machine learning four machine learning methods were used to determine whether considering spatiotemporal dependency could improve model prediction accuracy and explore the impact of various factors (i.e., environmental factors and demographical factors) on crime risk intensity in different lo­ cations using crime data collected from June 2014 to May 2018 in Dallas. The results indicated the following: (1) incorporating spatiotemporal lag variables can effectively improve the pre­ diction accuracy of machine learning models; (2) variables predicting crime are highly nonlinear over time and space, and tree-based nonlinear models greatly outperform linear models in pre­ dicting crime; and (3) interpretable machine learning models can reveal the unique contribution of each variable to researchers and practitioners. These findings contribute to our understanding of the mechanism of crime occurrence and may guide the development of crime prevention strategies.",data/bronze/deng2023_crime_risk_spatial.txt,include_title_abstract,IC4,,no,high,2026-06-27,Crime risk prediction con ML y dependencia espaciotemporal.
SLR1-0021,10.1016/j.compenvurbsys.2025.102390,How well do street view images predict crime rates in London? A comparison with social and macro-level environmental features,Guo; Sitong; Harris; Richard; Zhu; Rui,2026,"Computers, Environment and Urban Systems",Q1,Scopus,"Environmental features features influence crime. These features include the social and physical environmental features. Historically, Social features measuring the impact of the physical environment – especially its micro-level characteristics – on crime has been Crime prevention challenging due to the lack of fine-grained quantitative data. Recent advances in computer imagery have enabled Street view imagery Spatial analysis researchers to extract structured data from street view imagery, creating new opportunities to quantify features of the physical environment at this scale – particularly those visible from the streetscape perspective. However, the predictive power of these features, and particularly how they compare to more traditional sources of neighbourhood data, remain underexplored. Conducting the analysis across a large urban area also presents a significant challenge. To address these gaps, this study uses a stratified random sampling technique (stratified by classes of socio-economic deprivation/affluence) to select and extract data on micro-level environmental features from Google Street View (GSV) images. These are studied alongside other social and macro-level environmental data for 1000 Lower Super Output Areas (LSOAs) in London, using Random Forest as the core predictive model, with Ordinary Least Squares (OLS) and Geographically Weighted Regression (GWR) serving as supplementary tools to predict and analyse crime rates at an additional 500 randomly sampled LSOAs. While ‘social and macro- level environmental features’ – specifically renter occupancy rate, the number of POIs, and transport accessibility scores – were generally the most important predictors of crime, for certain crimes, such as criminal damage and arson, incorporating micro-level environmental features improved model accuracy. Overall, models incorpo­ rating spatial information in the relationships between environmental and social features and crime rates, out­ performed other models. This underscores the importance of considering spatial heterogeneity when analysing features influencing crime.",data/bronze/guo2026_street_view_london.txt,include_title_abstract,IC4,,yes,medium,2026-06-27,Predice tasas de crimen con street-view/environmental features; metodo ML/DL no queda totalmente claro en abstract.
SLR1-0022,10.1007/s10940-023-09580-1,A Bayesian Aoristic Logistic Regression to Model Spatio-Temporal Crime Risk Under the Presence of Interval-Censored Event Times,Briz-Redón; Álvaro,2024,Journal of Quantitative Criminology,Q1,Scopus,Bayesian model for spatio-temporal crime risk with interval-censored event times (temporal uncertainty in crime timing - crimes known only within a window).,papers/queue.md,exclude,IC4,,no,high,2026-06-27,"Modelo bayesiano/logistico; incertidumbre temporal, no ML/DL ni reporting bias."
