key,first_author,year,title,journal,quartile,databases,rqs,rq2_level,doi
wang2025_mragnn,Wang et al.,2025,MRAGNN: Refining urban spatio-temporal prediction of crime occurrence with multi-type crime correlation learning,Expert Systems with Applications,Q1,ScienceDirect,"1,3",L0,10.1016/j.eswa.2024.125940
yue2025_spatial_ml_crime,Yue et al.,2025,Interpretable spatial machine learning for understanding spatial heterogeneity in factors affecting crime,Applied Geography,Q1,CrossRef,"1,3",L0,10.1016/j.apgeog.2024.103503
access2026_digital_twin_crime,Shiraptini et al.,2026,AI and Machine Learning-Enabled Cognitive Digital Twin for Crime Hotspot Detection and Analysis,IEEE Access,Q2,CrossRef,1,L0,10.1109/access.2026.3658944
bhumika2026_fedcrime,Bhumika et al.,2026,FedCrime: Zero-inflation adaptive federated learning for crime prediction,Neurocomputing,Q1,Scopus,1,L1,10.1016/j.neucom.2026.133217
guo2026_multimodal_gcnlstm,Guo et al.,2026,Multimodal spatio-temporal fusion: A generalizable GCN-LSTM with attention framework for urban application,Information Fusion,Q1,ScienceDirect,"1,3",L0,10.1016/j.inffus.2026.104164
guo2026_street_view_london,Guo et al.,2026,How well do street view images predict crime rates in London? A comparison with social and macro-level environmental features,"Computers, Environment and Urban Systems",Q1,Scopus,3,L0,10.1016/j.compenvurbsys.2025.102390
hakyemez2026_ssrs_crime,Hakyemez et al.,2026,Enhancing Deep Learning-based Crime Hotspot Predictions With Theory-based Environmental Risk Scores,Applied Spatial Analysis and Policy,Q2,Scopus,"1,3",L0,10.1007/s12061-025-09789-6
moradi2026_abm_crime,Moradi et al.,2026,Theory-guided agent-based modeling for crime prediction and decision support,Expert Systems with Applications,Q1,CrossRef,1,L0,10.1016/j.eswa.2025.129181
moreira2026_crime_reporting_brazil,Moreira et al.,2026,Unequal crime reporting: trust in the police and racial disparities in reporting theft and robbery in Brazil,Policing: An International Journal,Q2,Scopus,2,L2,10.1108/PIJPSM-02-2026-0056
palmaborda2026_marl_patrol,Palma-Borda et al.,2026,Cooperative patrol routing: Optimizing urban crime surveillance through multi-agent reinforcement learning,Engineering Applications of Artificial Intelligence,Q1,CrossRef,1,L0,10.1016/j.engappai.2025.113706
vairetti2026_dl_crime_apps,Vairetti et al.,2026,Deep learning for crime analytics: A prioritization system for user reports from safety apps,Expert Systems with Applications,Q1,CrossRef,"1,3",L1,10.1016/j.eswa.2026.131694
